CNTRYID,CNT,CNTSCHID,CNTSTUID,CYC,NatCen,STRATUM,SUBNATIO,OECD,ST013Q01TA,MISCED,FISCED,HISCED,PARED,MISCED_D,FISCED_D,HISCED_D,PAREDINT,HISEI,MMINS,LMINS,SMINS,TMINS,STUBMI,ESCS,ICTHOME,ICTSCH,HEDRES,WEALTH,ICTRES,EMOSUPS,STIMREAD,ADAPTIVITY,BODYIMA,SOCONPA,PVMATH,PVREAD,PVSCIE
484,MEX,48400001,48406585,07MS,048400,MEX0007,4840000,1,1,4,2,4,12.00,4,2,4,12.00,52.70,250,200,200,1500,22.95,-1.4069,2,9,-2.2242,-2.5216,-1.7703,1.0346,-0.6200,0.7368,1.5661,0.3691,455.63,397.99,435.73
484,MEX,48400001,48406651,07MS,048400,MEX0007,4840000,1,4,5,6,6,16.00,5,6,6,16.00,62.13,250,200,250,1400,19.26,0.6029,10,8,-1.0118,0.5270,0.3875,1.0346,0.0205,0.4572,0.9248,-1.0299,429.91,386.14,387.23
484,MEX,48400001,48406860,07MS,048400,MEX0007,4840000,1,3,4,6,6,16.00,4,6,6,16.00,85.41,250,200,250,,22.86,0.8761,9,7,1.1793,-0.9679,-0.6231,-0.6576,-0.6200,-0.1716,0.1306,0.3691,387.67,355.80,364.91
484,MEX,48400001,48407332,07MS,048400,MEX0007,4840000,1,3,5,1,5,14.00,5,1,5,14.50,48.66,,,,,20.93,-0.5381,6,5,-0.4903,-1.3555,-0.9400,,-0.0999,-0.0791,0.9248,0.9078,517.56,504.45,478.58
484,MEX,48400001,48407359,07MS,048400,MEX0007,4840000,1,1,2,4,4,12.00,2,4,4,12.00,39.04,250,200,150,,24.22,-1.1856,5,9,-0.6853,-1.4648,-1.2275,1.0346,1.0419,0.4572,-0.3258,-1.2684,387.30,451.87,471.98
484,MEX,48400001,48407382,07MS,048400,MEX0007,4840000,1,3,2,6,6,16.00,2,6,6,16.00,65.01,,,,,,0.4145,8,7,-0.1357,-0.6370,-0.8794,,-1.7115,-1.4537,-0.2412,-1.7215,376.38,345.78,330.16
484,MEX,48400001,48407621,07MS,048400,MEX0007,4840000,1,1,2,1,2,9.00,2,1,2,9.00,22.57,35,175,105,1365,27.34,-3.4121,0,0,-3.0862,-4.2769,-3.7680,1.0346,2.0871,2.0073,,0.9078,356.63,324.29,360.02
484,MEX,48400001,48407633,07MS,048400,MEX0007,4840000,1,1,6,2,6,16.00,6,2,6,16.00,29.18,250,200,150,2750,,-1.0042,8,8,-0.1357,-2.3913,-2.4196,1.0346,-0.6163,0.4572,-1.0908,0.9078,369.17,414.16,404.39
484,MEX,48400001,48407890,07MS,048400,MEX0007,4840000,1,3,2,2,2,9.00,2,2,2,9.00,16.38,275,110,0,1540,25.51,-1.4430,9,7,0.0310,-0.2745,0.4472,-0.6576,-0.6200,0.1067,0.0422,-1.0299,332.99,375.62,306.18
484,MEX,48400001,48408085,07MS,048400,MEX0007,4840000,1,2,3,1,3,12.00,3,1,3,12.00,16.50,,,,,,-1.4382,7,5,1.1793,-1.3360,-0.9400,,-0.4648,-2.2652,-1.3390,,450.38,455.37,468.83
484,MEX,48400002,48401479,07MS,048400,MEX0002,4840000,1,4,6,6,6,16.00,6,1,6,16.00,13.72,240,240,300,,,0.3457,10,10,1.1793,1.1612,1.2943,0.2169,-0.6200,-0.4708,,,279.32,266.70,363.13
484,MEX,48400002,48401515,07MS,048400,MEX0002,4840000,1,2,1,1,1,6.00,1,1,1,6.00,39.04,270,180,225,,23.44,-2.0678,8,0,0.0477,-1.6306,-1.5939,1.0346,-2.3003,-1.4537,-2.4111,-1.0299,313.19,313.93,331.07
484,MEX,48400002,48402936,07MS,048400,MEX0002,4840000,1,2,6,6,6,16.00,6,6,6,16.00,65.01,250,200,300,1250,20.34,0.1260,8,1,-1.0118,-0.8011,-1.2275,-0.6576,-2.3003,-0.1687,-0.2393,-1.0299,480.90,433.87,473.05
484,MEX,48400002,48403071,07MS,048400,MEX0002,4840000,1,1,2,2,2,9.00,2,2,2,9.00,22.57,,,,,,-2.3359,,,-2.3503,-2.2740,-2.3112,,0.4831,-2.2652,,,254.51,260.27,319.78
484,MEX,48400002,48403194,07MS,048400,MEX0002,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,340.74,311.70,343.52
484,MEX,48400002,48404138,07MS,048400,MEX0002,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,419.51,482.08,455.85
484,MEX,48400002,48404669,07MS,048400,MEX0002,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,343.89,356.71,348.55
484,MEX,48400002,48404673,07MS,048400,MEX0002,4840000,1,1,5,6,6,16.00,5,6,6,16.00,39.04,,,,160,22.64,-1.0772,4,,-4.4106,-1.9962,-2.3112,,,,,,268.41,277.26,301.24
484,MEX,48400002,48404736,07MS,048400,MEX0002,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,422.07,446.68,434.15
484,MEX,48400002,48405287,07MS,048400,MEX0002,4840000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,460.25,573.06,532.39
